Date,Market Cap,% Change
2020-11-17,199452400000,-0.95%
2020-11-16,201366700000,1.76%
2020-11-13,197887400000,1.38%
2020-11-12,195190600000,-1.96%
2020-11-11,199089100000,1.82%
2020-11-10,195539900000,0.21%
2020-11-09,195120700000,1.78%
2020-11-06,191711300000,0.14%
2020-11-05,191437000000,2.17%
2020-11-04,187372800000,-1.26%
2020-11-03,189761000000,1.97%
2020-11-02,186087900000,1.49%
2020-10-30,183364500000,-0.05%
2020-10-29,183448200000,0.98%
2020-10-28,181660600000,-1.80%
2020-10-27,184998500000,-0.29%
2020-10-26,185543200000,-0.32%
2020-10-23,186143800000,-0.10%
2020-10-22,186339300000,0.21%
2020-10-21,185948200000,1.39%
2020-10-20,183392400000,0.33%
2020-10-19,182791800000,0.18%
2020-10-16,182456600000,-0.40%
2020-10-15,183196900000,-0.27%
2020-10-14,183699600000,-0.84%
2020-10-13,185263900000,0.64%
2020-10-12,184076700000,-0.21%
2020-10-09,184467800000,-0.65%
2020-10-08,185682900000,0.39%
2020-10-07,184956600000,0.89%
2020-10-06,183322600000,-0.64%
2020-10-05,184495700000,0.28%
2020-10-02,183979000000,-0.53%
2020-10-01,184956600000,-0.01%
2020-09-30,184970600000,-1.35%
2020-09-29,187498500000,-1.29%
2020-09-28,189956600000,2.29%
2020-09-25,185710800000,0.85%
2020-09-24,184146600000,-1.08%
2020-09-23,186157700000,0.79%
2020-09-22,184705200000,0.78%
2020-09-21,183266700000,-2.26%
2020-09-18,187498500000,-0.56%
2020-09-17,188546000000,0.72%
2020-09-16,187191200000,
2020-09-15,187191200000,0.19%
2020-09-14,186828100000,1.85%
2020-09-11,183434300000,0.89%
2020-09-10,181814200000,-0.72%
2020-09-09,183141000000,-0.08%
2020-09-08,183280700000,-1.46%
2020-09-04,185990100000,2.48%
2020-09-03,181493000000,-1.94%
2020-09-02,185082300000,0.17%
2020-09-01,184775100000,-0.10%
2020-08-31,184956600000,-1.11%
2020-08-28,187037600000,0.27%
2020-08-27,186534800000,-0.99%
2020-08-26,188392300000,0.07%
2020-08-25,188252700000,0.02%
2020-08-24,188210800000,0.69%
2020-08-21,186911900000,-0.19%
2020-08-20,187275000000,-0.83%
2020-08-19,188839300000,-0.64%
2020-08-18,190054300000,0.41%
2020-08-17,189286200000,0.98%
2020-08-14,187456600000,-1.05%
2020-08-13,189439800000,-0.59%
2020-08-12,190557100000,2.01%
2020-08-11,186800200000,2.44%
2020-08-10,182358900000,0.47%
2020-08-07,181506900000,1.26%
2020-08-06,179244400000,2.09%
2020-08-05,175575100000,1.55%
2020-08-04,172888400000,1.63%
2020-08-03,170117400000,1.34%
2020-07-31,167866800000,-2.55%
2020-07-30,172255400000,-1.23%
2020-07-29,174407600000,-1.17%
2020-07-28,176475300000,-1.65%
2020-07-27,179443300000,1.88%
2020-07-24,176123700000,-0.52%
2020-07-23,177038000000,-0.32%
2020-07-22,177600600000,-0.01%
2020-07-21,177614700000,-0.79%
2020-07-20,179035400000,0.17%
2020-07-17,178725900000,0.45%
2020-07-16,177924200000,-0.66%
2020-07-15,179105700000,0.71%
2020-07-14,177839800000,1.10%
2020-07-13,175898600000,0.06%
2020-07-10,175786100000,0.92%
2020-07-09,174182500000,-1.26%
2020-07-08,176405000000,0.36%
2020-07-07,175772000000,-1.59%
2020-07-06,178613400000,0.47%
2020-07-02,177783500000,1.81%
2020-07-01,174618600000,-1.19%
2020-06-30,176714500000,-0.99%
2020-06-29,178486800000,0.58%
2020-06-26,177460000000,-1.26%
2020-06-25,179724600000,-0.02%
2020-06-24,179766800000,-0.49%
2020-06-23,180656200000,0.75%
2020-06-22,179312700000,0.27%
2020-06-19,178836900000,-1.03%
2020-06-18,180698100000,0.19%
2020-06-17,180362300000,-0.56%
2020-06-16,181369900000,1.73%
